20/05-2020,13:11,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-07,ANM,WED,T18,,10,,,10,
20/05/2020,14:02,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-08,ANM,THU,T18,,,,,,9
20/05/2020,14:51,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-07,ANM,FRI,T18,6,,,,,
20/05/2020,17:39,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-11,RMC,TUE,T18,6,,,,,7
21/05/2020,08:57,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-07,ANM,TUE,T12,,10,,,10,
21/05/2020,09:02,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-07,ANM,TUE,T12,,,10,,,10
21/05/2020,09:07,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-07,ANM,WED,T18,,10,,,10,
21/05/2020,12:06,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-07,ANM,TUE,T12,,10,,,10,
21/05/2020,12:41,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-10,ANM,FRI,T18,7,3,5,9,1,7
21/05/2020,12:43,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-10,ANM,TUE,T12,1,2,3,4,5,6
"Thursday 21/05/2020",14:01,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-07,ANM,SUN,T12,10,10,10,10,10,10
"Friday 22/05/2020",05:05,cat,cat@mail.com,"+61 491 570 110","1234 1234 1234 12",2020-08,ANM,WED,T18,2,4,6,8,9,10
